date_of_service,year,month,day
2024-08-07,2024,8,7
2024-06-21,2024,6,21
2024-07-04,2024,7,4
2024-05-26,2024,5,26
2024-07-16,2024,7,16
2024-06-04,2024,6,4
2024-07-28,2024,7,28
2024-05-30,2024,5,30
2024-05-02,2024,5,2
2024-05-12,2024,5,12
2024-05-11,2024,5,11
2024-06-08,2024,6,8
2024-06-28,2024,6,28
2024-08-10,2024,8,10
2024-07-02,2024,7,2
2024-08-24,2024,8,24
2024-09-11,2024,9,11
2024-08-27,2024,8,27
2024-08-23,2024,8,23
2024-07-30,2024,7,30
2024-06-24,2024,6,24
2024-07-11,2024,7,11
2024-07-19,2024,7,19
2024-09-09,2024,9,9
2024-08-31,2024,8,31
2024-05-29,2024,5,29
2024-08-18,2024,8,18
2024-06-18,2024,6,18
2024-07-26,2024,7,26
2024-09-20,2024,9,20
2024-06-23,2024,6,23
2024-08-29,2024,8,29
2024-06-05,2024,6,5
2024-09-10,2024,9,10
2024-08-28,2024,8,28
2024-05-23,2024,5,23
2024-07-20,2024,7,20
2024-08-22,2024,8,22
2024-09-13,2024,9,13
2024-05-31,2024,5,31
2024-08-06,2024,8,6
2024-08-15,2024,8,15
2024-09-03,2024,9,3
2024-06-27,2024,6,27
2024-07-13,2024,7,13
2024-05-03,2024,5,3
2024-08-09,2024,8,9
2024-05-17,2024,5,17
2024-09-01,2024,9,1
2024-06-17,2024,6,17
2024-05-20,2024,5,20
2024-06-22,2024,6,22
2024-06-15,2024,6,15
2024-05-16,2024,5,16
2024-08-20,2024,8,20
2024-07-12,2024,7,12
2024-07-06,2024,7,6
2024-05-25,2024,5,25
2024-05-15,2024,5,15
2024-08-11,2024,8,11
2024-06-29,2024,6,29
2024-05-27,2024,5,27
2024-07-23,2024,7,23
2024-06-26,2024,6,26
2024-06-10,2024,6,10
2024-08-21,2024,8,21
2024-07-29,2024,7,29
2024-09-19,2024,9,19
2024-07-10,2024,7,10
2024-06-25,2024,6,25
2024-05-18,2024,5,18
2024-09-12,2024,9,12
2024-05-09,2024,5,9
2024-06-07,2024,6,7
2024-07-05,2024,7,5
2024-07-31,2024,7,31
2024-09-08,2024,9,8
2024-07-27,2024,7,27
2024-07-25,2024,7,25
2024-06-06,2024,6,6
2024-07-21,2024,7,21
2024-07-15,2024,7,15
2024-09-07,2024,9,7
2024-05-08,2024,5,8
2024-09-06,2024,9,6
2024-05-14,2024,5,14
2024-09-14,2024,9,14
2024-09-15,2024,9,15
2024-08-16,2024,8,16
2024-07-03,2024,7,3
2024-08-12,2024,8,12
2024-09-04,2024,9,4
2024-06-13,2024,6,13
2024-06-20,2024,6,20
2024-07-17,2024,7,17
2024-06-14,2024,6,14
2024-06-12,2024,6,12
2024-08-19,2024,8,19
2024-05-05,2024,5,5
2024-05-13,2024,5,13
2024-07-14,2024,7,14
2024-07-09,2024,7,9
2024-09-18,2024,9,18
2024-07-22,2024,7,22
2024-07-24,2024,7,24
2024-08-26,2024,8,26
2024-07-18,2024,7,18
2024-08-05,2024,8,5
2024-08-17,2024,8,17
2024-06-03,2024,6,3
2024-08-01,2024,8,1
2024-05-04,2024,5,4
2024-09-02,2024,9,2
2024-08-03,2024,8,3
2024-05-06,2024,5,6
2024-08-30,2024,8,30
2024-07-08,2024,7,8
2024-05-01,2024,5,1
2024-05-19,2024,5,19
2024-05-28,2024,5,28
2024-06-02,2024,6,2
2024-06-19,2024,6,19
2024-05-21,2024,5,21
2024-09-16,2024,9,16
2024-05-22,2024,5,22
2024-09-05,2024,9,5
2024-07-07,2024,7,7
2024-08-14,2024,8,14
2024-06-09,2024,6,9
2024-07-01,2024,7,1
2024-05-07,2024,5,7
2024-06-30,2024,6,30
2024-06-11,2024,6,11
2024-06-16,2024,6,16
2024-08-04,2024,8,4
2024-09-17,2024,9,17
2024-05-24,2024,5,24
2024-05-10,2024,5,10
2024-06-01,2024,6,1
2024-08-02,2024,8,2
2024-08-13,2024,8,13
2024-08-08,2024,8,8
2024-08-25,2024,8,25
